Title,Authors,Journal,ISSN,Year,Published,E-published,Volume,Issue,Pages,DOI,PMID,Labels,Qualifiers,IUID,URL,DOI URL,PubMed URL,QC
Building de novo reference genome assemblies of complex eukaryotic microorganisms from single nuclei,"Montoliu-Nerin M, Sánchez-García M, Bergin C, Grabherr M, Ellis B, Kutschera VE, Kierczak M, Johannesson H, Rosling A",Sci Rep,2045-2322,2020,2020-12-00,2020-01-28,10,1,,10.1038/s41598-020-58025-3,31992756,"Bioinformatics Long-term Support WABI, Bioinformatics Support, Infrastructure and Training, Microbial Single Cell Genomics, NGI Uppsala (SNP&SEQ Technology Platform), National Genomics Infrastructure","Collaborative, Collaborative, Collaborative, Service, Service",796149f9eb4f4e3980d73a2969461850,https://publications.scilifelab.se/publication/796149f9eb4f4e3980d73a2969461850,https://doi.org/10.1038/s41598-020-58025-3,https://www.ncbi.nlm.nih.gov/pubmed/31992756,
A spontaneous mitonuclear epistasis converging on Rieske Fe-S protein exacerbates complex III deficiency in mice,"Purhonen J, Grigorjev V, Ekiert R, Aho N, Rajendran J, Pietras R, Truvé K, Wikström M, Sharma V, Osyczka A, Fellman V, Kallijärvi J",Nat Commun,2041-1723,2020,2020-12-00,2020-01-16,11,1,,10.1038/s41467-019-14201-2,31949167,"Bioinformatics Support and Infrastructure, Bioinformatics Support, Infrastructure and Training, NGI Stockholm (Genomics Applications), NGI Stockholm (Genomics Production), National Genomics Infrastructure","Service, Service, Service, Service, Service",798d0c199a87482abd2a408a2148a1ac,https://publications.scilifelab.se/publication/798d0c199a87482abd2a408a2148a1ac,https://doi.org/10.1038/s41467-019-14201-2,https://www.ncbi.nlm.nih.gov/pubmed/31949167,
Clonal competition within complex evolutionary hierarchies shapes AML over time,"Sandén C, Lilljebjörn H, Orsmark Pietras C, Henningsson R, Saba KH, Landberg N, Thorsson H, von Palffy S, Peña-Martinez P, Högberg C, Rissler M, Gisselsson D, Lazarevic V, Juliusson G, Ågerstam H, Fioretos T",Nat Commun,2041-1723,2020,2020-12-00,2020-02-05,11,1,,10.1038/s41467-019-14106-0,,Clinical Genomics Lund,Service,7e69f131beb747948a82b285b2993442,https://publications.scilifelab.se/publication/7e69f131beb747948a82b285b2993442,https://doi.org/10.1038/s41467-019-14106-0,,
Translating GWAS-identified loci for cardiac rhythm and rate using an in vivo image- and CRISPR/Cas9-based approach,"von der Heyde B, Emmanouilidou A, Mazzaferro E, Vicenzi S, Höijer I, Klingström T, Jumaa S, Dethlefsen O, Snieder H, de Geus E, Ameur A, Ingelsson E, Allalou A, Brooke HL, den Hoed M",Sci Rep,2045-2322,2020,2020-12-00,2020-07-16,10,1,,10.1038/s41598-020-68567-1,,"NGI Uppsala (Uppsala Genome Center), National Genomics Infrastructure","Collaborative, Collaborative",87e07ded7de44a53ae4395ae27dfc8d4,https://publications.scilifelab.se/publication/87e07ded7de44a53ae4395ae27dfc8d4,https://doi.org/10.1038/s41598-020-68567-1,,
Transcriptome analysis of fibroblasts from schizophrenia patients reveals differential expression of schizophrenia-related genes,"Etemadikhah M, Niazi A, Wetterberg L, Feuk L",Sci Rep,2045-2322,2020,2020-12-00,2020-01-20,10,1,,10.1038/s41598-020-57467-z,,"NGI Uppsala (SNP&SEQ Technology Platform), National Genomics Infrastructure","Service, Service",8e7d434d65094896b5c0c4f4328ae62e,https://publications.scilifelab.se/publication/8e7d434d65094896b5c0c4f4328ae62e,https://doi.org/10.1038/s41598-020-57467-z,,
Distinct pre-initiation steps in human mitochondrial translation,"Khawaja A, Itoh Y, Remes C, Spåhr H, Yukhnovets O, Höfig H, Amunts A, Rorbach J",Nat Commun,2041-1723,2020,2020-12-00,2020-06-10,11,1,1-10,10.1038/s41467-020-16503-2,,Cryo-EM,Service,8e84f5a3ca5548628b22e3d122c5eed6,https://publications.scilifelab.se/publication/8e84f5a3ca5548628b22e3d122c5eed6,https://doi.org/10.1038/s41467-020-16503-2,,
Single cell transcriptomics identifies stem cell-derived graft composition in a model of Parkinson’s disease,"Tiklová K, Nolbrant S, Fiorenzano A, Björklund ÅK, Sharma Y, Heuer A, Gillberg L, Hoban DB, Cardoso T, Adler AF, Birtele M, Lundén-Miguel H, Volakakis N, Kirkeby A, Perlmann T, Parmar M",Nat Commun,2041-1723,2020,2020-12-00,2020-05-15,11,1,,10.1038/s41467-020-16225-5,,"Bioinformatics Support and Infrastructure, Bioinformatics Support, Infrastructure and Training","Collaborative, Collaborative",943e2024538744c492d89c63c743f034,https://publications.scilifelab.se/publication/943e2024538744c492d89c63c743f034,https://doi.org/10.1038/s41467-020-16225-5,,
Primary cell wall inspired micro containers as a step towards a synthetic plant cell,"Paulraj T, Wennmalm S, Wieland DCF, Riazanova AV, Dėdinaitė A, Günther Pomorski T, Cárdenas M, Svagan AJ",Nat Commun,2041-1723,2020,2020-12-00,2020-02-19,11,1,,10.1038/s41467-020-14718-x,,Advanced Light Microscopy (ALM),Collaborative,9909cb432f9745cbafcae0c1b08b44fd,https://publications.scilifelab.se/publication/9909cb432f9745cbafcae0c1b08b44fd,https://doi.org/10.1038/s41467-020-14718-x,,
Single-cell analysis of human ovarian cortex identifies distinct cell populations but no oogonial stem cells,"Wagner M, Yoshihara M, Douagi I, Damdimopoulos A, Panula S, Petropoulos S, Lu H, Pettersson K, Palm K, Katayama S, Hovatta O, Kere J, Lanner F, Damdimopoulou P",Nat Commun,2041-1723,2020,2020-12-00,2020-03-02,11,1,,10.1038/s41467-020-14936-3,,Eukaryotic Single Cell Genomics (ESCG),Service,a223b2180f754d79971096d57b714ee6,https://publications.scilifelab.se/publication/a223b2180f754d79971096d57b714ee6,https://doi.org/10.1038/s41467-020-14936-3,,
Epigenome-wide meta-analysis of blood DNA methylation in newborns and children identifies numerous loci related to gestational age,"Merid SK, Novoloaca A, Sharp GC, Küpers LK, Kho AT, Roy R, Gao L, Annesi-Maesano I, Jain P, Plusquin M, Kogevinas M, Allard C, Vehmeijer FO, Kazmi N, Salas LA, Rezwan FI, Zhang H, Sebert S, Czamara D, Rifas-Shiman SL, Melton PE, Lawlor DA, Pershagen G, Breton CV, Huen K, Baiz N, Gagliardi L, Nawrot TS, Corpeleijn E, Perron P, Duijts L, Nohr EA, Bustamante M, Ewart SL, Karmaus W, Zhao S, Page CM, Herceg Z, Jarvelin MR, Lahti J, Baccarelli AA, Anderson D, Kachroo P, Relton CL, Bergström A, Eskenazi B, Soomro MH, Vineis P, Snieder H, Bouchard L, Jaddoe VW, Sørensen TIA, Vrijheid M, Arshad SH, Holloway JW, Håberg SE, Magnus P, Dwyer T, Binder EB, DeMeo DL, Vonk JM, Newnham J, Tantisira KG, Kull I, Wiemels JL, Heude B, Sunyer J, Nystad W, Munthe-Kaas MC, Räikkönen K, Oken E, Huang RC, Weiss ST, Antó JM, Bousquet J, Kumar A, Söderhäll C, Almqvist C, Cardenas A, Gruzieva O, Xu CJ, Reese SE, Kere J, Brodin P, Solomon O, Wielscher M, Holland N, Ghantous A, Hivert MF, Felix JF, Koppelman GH, London SJ, Melén E",Genome Med,1756-994X,2020,2020-12-00,2020-03-02,12,1,,10.1186/s13073-020-0716-9,,Mass Cytometry,Collaborative,a659f5e1151b495e8855badb737d6232,https://publications.scilifelab.se/publication/a659f5e1151b495e8855badb737d6232,https://doi.org/10.1186/s13073-020-0716-9,,
Genetic and environmental influences on human height from infancy through adulthood at different levels of parental education,"Jelenkovic A, Sund R, Yokoyama Y, Latvala A, Sugawara M, Tanaka M, Matsumoto S, Freitas DL, Maia JA, Knafo-Noam A, Mankuta D, Abramson L, Ji F, Ning F, Pang Z, Rebato E, Saudino KJ, Cutler TL, Hopper JL, Ullemar V, Almqvist C, Magnusson PKE, Cozen W, Hwang AE, Mack TM, Nelson TL, Whitfield KE, Sung J, Kim J, Lee J, Lee S, Llewellyn CH, Fisher A, Medda E, Nisticò L, Toccaceli V, Baker LA, Tuvblad C, Corley RP, Huibregtse BM, Derom CA, Vlietinck RF, Loos RJF, Burt SA, Klump KL, Silberg JL, Maes HH, Krueger RF, McGue M, Pahlen S, Gatz M, Butler DA, Harris JR, Brandt I, Nilsen TS, Harden KP, Tucker-Drob EM, Franz CE, Kremen WS, Lyons MJ, Lichtenstein P, Bartels M, Beijsterveldt CEMv, Willemsen G, Öncel SY, Aliev F, Jeong HU, Hur YM, Turkheimer E, Boomsma DI, Sørensen TIA, Kaprio J, Silventoinen K",Sci Rep,2045-2322,2020,2020-12-00,2020-05-14,10,1,,10.1038/s41598-020-64883-8,,"NGI Uppsala (SNP&SEQ Technology Platform), National Genomics Infrastructure","Service, Service",a67f74b1dcdf445da4ec370ee216c8d6,https://publications.scilifelab.se/publication/a67f74b1dcdf445da4ec370ee216c8d6,https://doi.org/10.1038/s41598-020-64883-8,,
"Genome assembly of the basket willow, Salix viminalis, reveals earliest stages of sex chromosome expansion","Almeida P, Proux-Wera E, Churcher A, Soler L, Dainat J, Pucholt P, Nordlund J, Martin T, Rönnberg-Wästljung AC, Nystedt B, Berlin S, Mank JE",BMC Biol.,1741-7007,2020,2020-12-00,2020-06-30,18,1,,10.1186/s12915-020-00808-1,,"Bioinformatics Long-term Support WABI, Bioinformatics Support, Infrastructure and Training","Collaborative, Collaborative",ab04802fae2f48d79a3540da9ca340bd,https://publications.scilifelab.se/publication/ab04802fae2f48d79a3540da9ca340bd,https://doi.org/10.1186/s12915-020-00808-1,,
The conifer root rot pathogens Heterobasidion irregulare and Heterobasidion occidentale employ different strategies to infect Norway spruce,"Hu Y, Elfstrand M, Stenlid J, Durling MB, Olson Å",Sci Rep,2045-2322,2020,2020-12-00,2020-04-03,10,1,,10.1038/s41598-020-62521-x,,"NGI Uppsala (SNP&SEQ Technology Platform), National Genomics Infrastructure","Service, Service",b8409eb1124c41258c01b678e729e7e6,https://publications.scilifelab.se/publication/b8409eb1124c41258c01b678e729e7e6,https://doi.org/10.1038/s41598-020-62521-x,,
Extracellular vesicles from mast cells induce mesenchymal transition in airway epithelial cells,"Yin Y, Shelke GV, Lässer C, Brismar H, Lötvall J",Respir. Res.,1465-993X,2020,2020-12-00,2020-05-01,21,1,,10.1186/s12931-020-01346-8,,Advanced Light Microscopy (ALM),Service,c0a96e98a034428a81aa4c4d641f4022,https://publications.scilifelab.se/publication/c0a96e98a034428a81aa4c4d641f4022,https://doi.org/10.1186/s12931-020-01346-8,,
"Genome assembly of the basket willow, Salix viminalis, reveals earliest stages of sex chromosome expansion","Almeida P, Proux-Wera E, Churcher A, Soler L, Dainat J, Pucholt P, Nordlund J, Martin T, Rönnberg-Wästljung AC, Nystedt B, Berlin S, Mank JE",BMC Biol.,1741-7007,2020,2020-12-00,2020-06-30,18,1,,10.1186/s12915-020-00808-1,,"NGI Uppsala (SNP&SEQ Technology Platform), National Genomics Infrastructure","Collaborative, Collaborative",c1da6115eb61449fbd3f03367a285fc9,https://publications.scilifelab.se/publication/c1da6115eb61449fbd3f03367a285fc9,https://doi.org/10.1186/s12915-020-00808-1,,
Whole-genome sequencing of glioblastoma reveals enrichment of non-coding constraint mutations in known and novel genes,"Sakthikumar S, Roy A, Haseeb L, Pettersson ME, Sundström E, Marinescu VD, Lindblad-Toh K, Forsberg-Nilsson K",Genome Biol.,1474-760X,2020,2020-12-00,2020-06-09,21,1,,10.1186/s13059-020-02035-x,,"Bioinformatics Long-term Support WABI, Bioinformatics Support, Infrastructure and Training","Service, Service",c6c9774c1b8243a9b58de3d0fbc783c8,https://publications.scilifelab.se/publication/c6c9774c1b8243a9b58de3d0fbc783c8,https://doi.org/10.1186/s13059-020-02035-x,,
Exploiting loss of heterozygosity for allele-selective colorectal cancer chemotherapy,"Rendo V, Stoimenov I, Mateus A, Sjöberg E, Svensson R, Gustavsson AL, Johansson L, Ng A, OʼBrien C, Giannakis M, Artursson P, Nygren P, Cheong I, Sjöblom T",Nat Commun,2041-1723,2020,2020-12-00,2020-03-11,11,1,,10.1038/s41467-020-15111-4,,Chemical Biology Consortium Sweden (CBCS),Collaborative,d18a2001ca2a484ea1267aaed4906d19,https://publications.scilifelab.se/publication/d18a2001ca2a484ea1267aaed4906d19,https://doi.org/10.1038/s41467-020-15111-4,,
Multi-ancestry GWAS of the electrocardiographic PR interval identifies 202 loci underlying cardiac conduction,"Ntalla I, Weng LC, Cartwright JH, Hall AW, Sveinbjornsson G, Tucker NR, Choi SH, Chaffin MD, Roselli C, Barnes MR, Mifsud B, Warren HR, Hayward C, Marten J, Cranley JJ, Concas MP, Gasparini P, Boutin T, Kolcic I, Polasek O, Rudan I, Araujo NM, Lima-Costa MF, Ribeiro ALP, Souza RP, Tarazona-Santos E, Giedraitis V, Ingelsson E, Mahajan A, Morris AP, Del Greco M F, Foco L, Gögele M, Hicks AA, Cook JP, Lind L, Lindgren CM, Sundström J, Nelson CP, Riaz MB, Samani NJ, Sinagra G, Ulivi S, Kähönen M, Mishra PP, Mononen N, Nikus K, Caulfield MJ, Dominiczak A, Padmanabhan S, Montasser ME, O’Connell JR, Ryan K, Shuldiner AR, Aeschbacher S, Conen D, Risch L, Thériault S, Hutri-Kähönen N, Lehtimäki T, Lyytikäinen LP, Raitakari OT, Barnes CLK, Campbell H, Joshi PK, Wilson JF, Isaacs A, Kors JA, van Duijn CM, Huang PL, Gudnason V, Harris TB, Launer LJ, Smith AV, Bottinger EP, Loos RJF, Nadkarni GN, Preuss MH, Correa A, Mei H, Wilson J, Meitinger T, Müller-Nurasyid M, Peters A, Waldenberger M, Mangino M, Spector TD, Rienstra M, van de Vegte YJ, van der Harst P, Verweij N, Kääb S, Schramm K, Sinner MF, Strauch K, Cutler MJ, Fatkin D, London B, Olesen M, Roden DM, Benjamin Shoemaker M, Gustav Smith J, Biggs ML, Bis JC, Brody JA, Psaty BM, Rice K, Sotoodehnia N, De Grandi A, Fuchsberger C, Pattaro C, Pramstaller PP, Ford I, Wouter Jukema J, Macfarlane PW, Trompet S, Dörr M, Felix SB, Völker U, Weiss S, Havulinna AS, Jula A, Sääksjärvi K, Salomaa V, Guo X, Heckbert SR, Lin HJ, Rotter JI, Taylor KD, Yao J, de Mutsert R, Maan AC, Mook-Kanamori DO, Noordam R, Cucca F, Ding J, Lakatta EG, Qian Y, Tarasov KV, Levy D, Lin H, Newton-Cheh CH, Lunetta KL, Murray AD, Porteous DJ, Smith BH, Stricker BH, Uitterlinden A, van den Berg ME, Haessler J, Jackson RD, Kooperberg C, Peters U, Reiner AP, Whitsel EA, Alonso A, Arking DE, Boerwinkle E, Ehret GB, Soliman EZ, Avery CL, Gogarten SM, Kerr KF, Laurie CC, Seyerle AA, Stilp A, Assa S, Abdullah Said M, Yldau van der Ende M, Lambiase PD, Orini M, Ramirez J, Van Duijvenboden S, Arnar DO, Gudbjartsson DF, Holm H, Sulem P, Thorleifsson G, Thorolfsdottir RB, Thorsteinsdottir U, Benjamin EJ, Tinker A, Stefansson K, Ellinor PT, Jamshidi Y, Lubitz SA, Munroe PB",Nat Commun,2041-1723,2020,2020-12-00,2020-05-21,11,1,,10.1038/s41467-020-15706-x,,"NGI Uppsala (SNP&SEQ Technology Platform), National Genomics Infrastructure","Service, Service",d98c58bf1e6e4de9b468b52b6592fa41,https://publications.scilifelab.se/publication/d98c58bf1e6e4de9b468b52b6592fa41,https://doi.org/10.1038/s41467-020-15706-x,,
Whole-genome sequencing of glioblastoma reveals enrichment of non-coding constraint mutations in known and novel genes,"Sakthikumar S, Roy A, Haseeb L, Pettersson ME, Sundström E, Marinescu VD, Lindblad-Toh K, Forsberg-Nilsson K",Genome Biol.,1474-760X,2020,2020-12-00,2020-06-09,21,1,,10.1186/s13059-020-02035-x,,"NGI Uppsala (SNP&SEQ Technology Platform), National Genomics Infrastructure","Service, Service",e913056a4e7f4aad822efbc06d4f28d5,https://publications.scilifelab.se/publication/e913056a4e7f4aad822efbc06d4f28d5,https://doi.org/10.1186/s13059-020-02035-x,,
Amyloid precursor protein-b facilitates cell adhesion during early development in zebrafish,"Banote RK, Chebli J, Şatır TM, Varshney GK, Camacho R, Ledin J, Burgess SM, Abramsson A, Zetterberg H",Sci Rep,2045-2322,2020,2020-12-00,2020-06-23,10,1,,10.1038/s41598-020-66584-8,,Genome Engineering Zebrafish,Collaborative,ee18a396f79f4e90a668a1318fc73ed8,https://publications.scilifelab.se/publication/ee18a396f79f4e90a668a1318fc73ed8,https://doi.org/10.1038/s41598-020-66584-8,,
A progressive and complex clinical course in two family members with ERF-related craniosynostosis: a case report,"Körberg I, Nowinski D, Bondeson ML, Melin M, Kölby L, Stattin EL",BMC Med. Genet.,1471-2350,2020,2020-12-00,2020-05-05,21,1,,10.1186/s12881-020-01015-z,,"NGI Uppsala (SNP&SEQ Technology Platform), National Genomics Infrastructure","Service, Service",f4427096b88f41f3962469e06754180d,https://publications.scilifelab.se/publication/f4427096b88f41f3962469e06754180d,https://doi.org/10.1186/s12881-020-01015-z,,
Structural basis for the increased processivity of D-family DNA polymerases in complex with PCNA,"Madru C, Henneke G, Raia P, Hugonneau-Beaufet I, Pehau-Arnaudet G, England P, Lindahl E, Delarue M, Carroni M, Sauguet L",Nat Commun,2041-1723,2020,2020-12-00,2020-03-27,11,1,,10.1038/s41467-020-15392-9,,Cryo-EM,Collaborative,f4b79cf485ae4ae2b999a8ce542884b9,https://publications.scilifelab.se/publication/f4b79cf485ae4ae2b999a8ce542884b9,https://doi.org/10.1038/s41467-020-15392-9,,
Profiles of histidine-rich glycoprotein associate with age and risk of all-cause mortality.,"Hong MG, Dodig-Crnković T, Chen X, Drobin K, Lee W, Wang Y, Edfors F, Kotol D, Thomas CE, Sjöberg R, Odeberg J, Hamsten A, Silveira A, Hall P, Nilsson P, Pawitan Y, Uhlén M, Pedersen NL, Hägg S, Magnusson PK, Schwenk JM",Life Sci. Alliance,2575-1077,2020,2020-10-00,2020-07-31,3,10,,10.26508/lsa.202000817,32737166,Autoimmunity Profiling,Service,bb0b805b5429464ab0bddbb9a6f7787e,https://publications.scilifelab.se/publication/bb0b805b5429464ab0bddbb9a6f7787e,https://doi.org/10.26508/lsa.202000817,https://www.ncbi.nlm.nih.gov/pubmed/32737166,
Unraveling the Immune Response in Severe COVID-19,"Rodriguez L, Brodin P",J Clin Immunol,0271-9142,2020,2020-08-22,2020-08-22,,,,10.1007/s10875-020-00849-9,,Mass Cytometry,Collaborative,4fe1c1c64da447edb1c83d2c5f3923ec,https://publications.scilifelab.se/publication/4fe1c1c64da447edb1c83d2c5f3923ec,https://doi.org/10.1007/s10875-020-00849-9,,
Structural basis of mitochondrial translation,"Aibara S, Singh V, Modelska A, Amunts A",Elife,2050-084X,2020,2020-08-19,2020-08-19,9,,1-17,10.7554/elife.58362,,Cryo-EM,Service,62278042bce741a7830004b9bee7a21c,https://publications.scilifelab.se/publication/62278042bce741a7830004b9bee7a21c,https://doi.org/10.7554/elife.58362,,
Association of Established Blood Pressure Loci With 10-Year Change in Blood Pressure and Their Ability to Predict Incident Hypertension.,"Poveda A, Atabaki-Pasdar N, Ahmad S, Hallmans G, Renström F, Franks PW",J Am Heart Assoc,2047-9980,2020,2020-08-18,2020-08-04,9,16,e014513,10.1161/JAHA.119.014513,32805198,"NGI Uppsala (SNP&SEQ Technology Platform), National Genomics Infrastructure","Service, Service",e761b3a5d96f4efbba18f980378013bf,https://publications.scilifelab.se/publication/e761b3a5d96f4efbba18f980378013bf,https://doi.org/10.1161/JAHA.119.014513,https://www.ncbi.nlm.nih.gov/pubmed/32805198,
Allergome-wide peptide microarrays enable epitope deconvolution in allergen-specific immunotherapy.,"Mikus M, Zandian A, Sjöberg R, Hamsten C, Forsström B, Andersson M, Greiff L, Uhlén M, Levin M, Nilsson P, van Hage M, Ohlin M",J. Allergy Clin. Immunol.,1097-6825,2020,2020-08-10,2020-08-10,,,,10.1016/j.jaci.2020.08.002,32791163,Autoimmunity Profiling,Collaborative,ee18e674971a4b5f89d31d1203a60cda,https://publications.scilifelab.se/publication/ee18e674971a4b5f89d31d1203a60cda,https://doi.org/10.1016/j.jaci.2020.08.002,https://www.ncbi.nlm.nih.gov/pubmed/32791163,
Systems-level immunomonitoring from acute to recovery phase of severe COVID-19,"Rodriguez L, Pekkarinen PT, Lakshmikanth T, Tan Z, Consiglio CR, Pou C, Chen Y, Mugabo CH, Nguyen NA, Nowlan K, Strandin T, Levanov L, Mikes J, Wang J, Kantele A, Hepojoki J, Vapalahti O, Heinonen S, Kekäläinen E, Brodin P",Cell Reports Medicine,2666-3791,2020,2020-08-00,2020-08-00,,,100078,10.1016/j.xcrm.2020.100078,,Mass Cytometry,Collaborative,9ca42c9a52d44cd99374572d2643ad5a,https://publications.scilifelab.se/publication/9ca42c9a52d44cd99374572d2643ad5a,https://doi.org/10.1016/j.xcrm.2020.100078,,
SLC12A2 mutations cause NKCC1 deficiency with encephalopathy and impaired secretory epithelia.,"Stödberg T, Magnusson M, Lesko N, Wredenberg A, Martin Munoz D, Stranneheim H, Wedell A",Neurol Genet,2376-7839,2020,2020-08-00,2020-07-02,6,4,e478,10.1212/NXG.0000000000000478,32754646,Clinical Genomics Stockholm,Service,9eef175ae5b148708247024fc8f8d2d9,https://publications.scilifelab.se/publication/9eef175ae5b148708247024fc8f8d2d9,https://doi.org/10.1212/NXG.0000000000000478,https://www.ncbi.nlm.nih.gov/pubmed/32754646,
